Sentence#,Word,Pos,Tag
18,across,ADP,O
18,the,DET,O
18,district,NOUN,O
18,.,PUNCT,O
19,Dengue,PROPN,B-DISEASE
19,fever,NOUN,I+D446-DISEASE
19,",",PUNCT,O
19,H1N1,PROPN,B-DISEASE
19,(,PUNCT,O
19,influenza,PROPN,B-DISEASE
19,),PUNCT,O
19,",",PUNCT,O
19,leptospirosis,NOUN,B-DISEASE
19,",",PUNCT,O
19,and,CCONJ,O
19,common,ADJ,O
19,flu,NOUN,B-DISEASE
19,are,AUX,O
19,the,DET,O
19,most,ADV,O
19,commonly,ADV,O
19,seen,VERB,O
19,viral,ADJ,B-DISEASE
19,infections,NOUN,I-DISEASE
19,.,PUNCT,O
20,Jaundice,NOUN,B-DISEASE
20,cases,NOUN,B-EVENT
20,too,ADV,O
20,are,AUX,O
20,being,AUX,O
20,reported,VERB,I-EVENT
20,.,PUNCT,O
21,There,PRON,O
21,is,VERB,O
21,some,DET,O
21,amount,NOUN,O
21,of,ADP,O
21,confusion,NOUN,O
21,also,ADV,O
21,among,ADP,O
21,people,ADJ,O
21,s,NOUN,O
21,minds,NOUN,O
21,if,SCONJ,O
21,the,DET,O
21,symptoms,NOUN,O
21,are,AUX,O
21,that,PRON,O
21,of,ADP,O
21,COVID-19,NOUN,B-DISEASE
21,.,PUNCT,O
22,As,ADV,O
22,many,ADJ,O
22,as,ADP,O
22,1911,NUM,B-CARDINAL
22,people,NOUN,O
22,sought,VERB,B-EVENT
22,outpatient,NOUN,I-EVENT
22,treatment,NOUN,I-EVENT
22,for,ADP,O
22,fever,NOUN,B-DISEASE
22,on,ADP,O
22,July,PROPN,B-DATE
22,4,NUM,B-DATE
22,while,SCONJ,O
22,16,NUM,B-DATE
22,were,AUX,O
22,admitted,VERB,B-EVENT
22,.,PUNCT,O
23,There,PRON,O
23,was,VERB,O
23,one,NUM,B-CARDINAL
23,suspected,VERB,O
23,death,NOUN,B-EVENT
23,due,ADP,O
23,to,ADP,O
23,leptospirosis,NOUN,B-DISEASE
23,.,PUNCT,O
24,Risk,NOUN,O
24,factors,NOUN,O
24,of,ADP,O
24,Leptospirosis,PROPN,B-DISEASE
24,include,VERB,O
24,Occupational,ADJ,O
24,exposure,NOUN,O
24,.,PUNCT,O
25,Kozhikode,PROPN,B-GPE
25,is,AUX,O
25,in,ADP,O
25,the,DET,O
25,second,ADJ,B-CARDINAL
25,slot,NOUN,O
25,in,ADP,O
25,terms,NOUN,O
25,of,ADP,O
25,total,ADJ,O
25,number,NOUN,O
25,of,ADP,O
25,patients,NOUN,O
25,seeking,VERB,B-EVENT
25,treatment,NOUN,I-EVENT
25,for,ADP,O
25,fever,NOUN,B-DISEASE
25,.,PUNCT,O
26,Malappuram,PROPN,B-GPE
26,is,AUX,O
26,on,ADP,O
26,top,NOUN,O
26,of,ADP,O
26,the,DET,O
26,list,NOUN,O
26,.,PUNCT,O
27,There,PRON,O
27,were,VERB,O
27,1512,NUM,B-CARDINAL
27,OP,NOUN,B-EVENT
27,cases,NOUN,I-EVENT
27,on,ADP,O
27,July,PROPN,B-DATE
27,3,NUM,I-DATE
27,without,ADP,O
27,any,DET,O
27,admissions,NOUN,O
27,to,ADP,O
27,hospitals,NOUN,O
27,.,PUNCT,O
28,There,PRON,O
28,were,VERB,O
28,1988,NUM,B-CARDINAL
28,such,ADJ,O
28,cases,NOUN,B-EVENT
28,on,ADP,O
28,July,PROPN,B-DATE
28,2,NUM,I-DATE
28,and,CCONJ,O
28,eight,NUM,B-CARDINAL
28,were,AUX,O
28,admitted,VERB,B-EVENT
28,for,ADP,O
28,treatment,NOUN,O
28,.,PUNCT,O
29,There,PRON,O
29,were,VERB,O
29,1731,NUM,B-CARDINAL
29,cases,NOUN,B-EVENT
29,and,CCONJ,O
29,three,NUM,B-CARDINAL
29,admissions,NOUN,B-EVENT
29,on,ADP,O
29,July,PROPN,B-DATE
29,1,NUM,I-DATE
29,.,PUNCT,O
30,Six,NUM,B-CARDINAL
30,suspected,VERB,B-EVENT
30,cases,NOUN,I-EVENT
30,of,ADP,O
30,leptospirosis,NOUN,B-DISEASE
30,too,ADV,O
30,were,AUX,O
30,reported,VERB,O
30,.,PUNCT,O
31,Last,ADJ,O
31,week,NOUN,O
31,",",PUNCT,O
31,there,PRON,O
31,were,VERB,O
31,days,NOUN,O
31,when,SCONJ,O
31,over,ADP,O
31,2000,NUM,B-CARDINAL
31,people,NOUN,O
31,sought,VERB,B-EVENT
31,OP,NOUN,I-EVENT
31,treatment,NOUN,I-EVENT
31,.,PUNCT,O
32,Fever,NOUN,B-DISEASE
32,clinics,NOUN,O
32,Meanwhile,ADV,O
32,",",PUNCT,O
32,the,DET,O
32,Health,PROPN,O
32,department,NOUN,O
32,has,AUX,O
32,launched,VERB,O
32,fever,NOUN,B-DISEASE
32,clinics,NOUN,O
32,at,ADP,O
32,the,DET,O
32,Government,PROPN,O
32,General,PROPN,O
32,Hospital,PROPN,O
32,",",PUNCT,O
32,Kozhikode,PROPN,B-GPE
32,",",PUNCT,O
32,and,CCONJ,O
32,all,DET,O
32,taluk,NOUN,O
32,hospitals,NOUN,O
32,in,ADP,O
32,the,DET,O
32,district,NOUN,O
32,.,PUNCT,O
33,Local,ADJ,O
33,sources,NOUN,O
33,said,VERB,O
33,that,SCONJ,O
33,a,DET,O
33,high,ADJ,O
33,number,NOUN,O
33,of,ADP,O
33,school,NOUN,O
33,students,NOUN,O
33,",",PUNCT,O
33,especially,ADV,O
33,those,PRON,O
33,in,ADP,O
33,the,DET,O
33,lower,ADJ,O
33,primary,ADJ,O
33,and,CCONJ,O
33,upper,ADJ,O
33,primary,ADJ,O
33,sections,NOUN,O
33,",",PUNCT,O
33,are,AUX,O
33,seeking,VERB,B-EVENT
33,treatment,NOUN,I-EVENT
33,for,ADP,O
33,fever,NOUN,B-DISEASE
33,in,ADP,O
33,the,DET,O
33,Kuttiyadi,PROPN,B-GPE
33,area,NOUN,O
33,.,PUNCT,O
34,Kayakkodi,PROPN,B-GPE
34,",",PUNCT,O
34,Kuttiyadi,PROPN,B-GPE
34,",",PUNCT,O
34,Kunnummal,PROPN,B-GPE
34,",",PUNCT,O
34,Velam,PROPN,B-GPE
34,",",PUNCT,O
34,Maruthonkara,PROPN,B-GPE
34,",",PUNCT,O
34,Nittur,PROPN,B-GPE
34,",",PUNCT,O
34,Valayam,PROPN,B-GPE
34,",",PUNCT,O
34,and,CCONJ,O
34,Thaleekkara,PROPN,B-GPE
34,are,AUX,O
34,some,PRON,O
34,of,ADP,O
34,the,DET,O
34,places,NOUN,O
34,from,ADP,O
34,where,SCONJ,O
34,fever,NOUN,B-DISEASE
34,cases,NOUN,B-EVENT
34,are,AUX,O
34,being,AUX,O
34,reported,VERB,I-EVENT
34,.,PUNCT,O
35,Reports,NOUN,O
35,from,ADP,O
35,Mukkom,PROPN,B-GPE
35,said,VERB,O
35,that,SCONJ,O
35,even,ADV,O
35,some,DET,O
35,doctors,NOUN,O
35,in,ADP,O
35,regional,ADJ,O
35,health,NOUN,O
35,centres,NOUN,O
35,are,AUX,O
35,going,VERB,O
35,on,ADP,O
35,leave,NOUN,O
35,because,SCONJ,O
35,of,ADP,O
35,viral,ADJ,B-DISEASE
35,infections,NOUN,I-DISEASE
35,.,PUNCT,O
36,Shortage,NOUN,O
36,of,ADP,O
36,antibiotics,NOUN,O
36,and,CCONJ,O
36,other,ADJ,O
36,medicines,NOUN,O
36,was,AUX,O
36,reported,VERB,O
36,from,ADP,O
36,some,DET,O
36,government,NOUN,O
36,health,NOUN,O
36,facilities,NOUN,O
36,in,ADP,O
36,Kunnamangalam,PROPN,B-GPE
36,.,PUNCT,O
37,Zoonotic,ADJ,B-DISEASE
37,diseases,NOUN,I-DISEASE
37,or,CCONJ,O
37,diseases,NOUN,O
37,transmitted,VERB,O
37,from,ADP,O
37,animals,NOUN,O
37,to,ADP,O
37,human,ADJ,O
37,beings,NOUN,O
37,are,AUX,O
37,on,ADP,O
37,the,DET,O
37,rise,NOUN,O
37,across,ADP,O
37,the,DET,O
37,world,NOUN,O
37,.,PUNCT,O
38,Even,ADV,O
38,COVID-19,NOUN,B-DISEASE
38,might,AUX,O
38,be,AUX,O
38,of,ADP,O
38,animal,NOUN,O
38,origin,NOUN,O
38,.,PUNCT,O
39,Among,ADP,O
39,zoonotic,ADJ,B-DISEASE
39,diseases,NOUN,I-DISEASE
39,",",PUNCT,O
39,rabies,NOUN,B-DISEASE
39,",",PUNCT,O
39,leptospirosis,NOUN,B-DISEASE
39,",",PUNCT,O
39,tuberculosis,NOUN,B-DISEASE
39,",",PUNCT,O
39,food,NOUN,O
39,poisoning,NOUN,O
39,",",PUNCT,O
39,brucellosis,NOUN,B-DISEASE
39,",",PUNCT,O
39,West,PROPN,B-DISEASE
39,Nile,PROPN,I-DISEASE
39,disease,NOUN,I-DISEASE
39,",",PUNCT,O
39,Salmonellosis,PROPN,B-DISEASE
39,",",PUNCT,O
39,Avian,ADJ,B-DISEASE
39,influenza,NOUN,I-DISEASE
39,and,CCONJ,O
39,swine,NOUN,B-DISEASE
39,fever,NOUN,I-DISEASE
39,are,AUX,O
39,on,ADP,O
39,the,DET,O
39,rise,NOUN,O
39,in,ADP,O
39,the,DET,O
39,State,PROPN,O
39,as,SCONJ,O
39,on,ADP,O
39,July,PROPN,B-DATE
39,7,NUM,I-DATE
39,2022,NUM,I-DATE
39,.,PUNCT,O
40,The,DET,O
40,One,NUM,B-CARDINAL
40,Health,PROPN,O
40,strategy,NOUN,O
40,consisting,VERB,O
40,of,ADP,O
40,comprehensive,ADJ,O
40,health,NOUN,O
40,of,ADP,O
40,human,ADJ,O
40,beings,NOUN,O
40,",",PUNCT,O
40,animals,NOUN,O
40,and,CCONJ,O
40,the,DET,O
40,environment,NOUN,O
40,needs,VERB,O
40,to,PART,O
40,be,AUX,O
40,implemented,VERB,O
40,to,PART,O
40,control,VERB,O
40,hundreds,NOUN,B-CARDINAL
40,of,ADP,O
40,zoonotic,ADJ,B-DISEASE
40,diseases,NOUN,I-DISEASE
40,.,PUNCT,O
41,Poor,ADJ,O
41,waste,NOUN,O
41,management,NOUN,O
41,",",PUNCT,O
41,unscientific,ADJ,O
41,slaughtering,ADJ,O
41,practices,NOUN,O
41,",",PUNCT,O
41,increase,VERB,O
41,in,ADP,O
41,the,DET,O
41,number,NOUN,O
41,of,ADP,O
41,stray,ADJ,O
41,dogs,NOUN,O
41,and,CCONJ,O
41,climatic,ADJ,O
41,variations,NOUN,O
41,lead,VERB,O
41,to,ADP,O
41,an,DET,O
41,increase,NOUN,O
41,in,ADP,O
41,the,DET,O
41,incidence,NOUN,O
41,of,ADP,O
41,zoonotic,ADJ,B-DISEASE
41,diseases,NOUN,I-DISEASE
41,",",PUNCT,O
41,says,VERB,O
41,SethuMadhavan,PROPN,B-PERSON
41,",",PUNCT,O
41,former,ADJ,O
41,Director,PROPN,O
41,of,ADP,O
41,Entrepreneurship,PROPN,O
41,",",PUNCT,O
41,Kerala,PROPN,B-STATE
41,Veterinary,PROPN,O
41,and,CCONJ,O
41,Animal,PROPN,O
41,Sciences,PROPN,O
41,University,PROPN,O
41,.,PUNCT,O
42,Even,ADV,O
42,as,SCONJ,O
42,Kerala,PROPN,B-STATE
42,excels,VERB,O
42,in,ADP,O
42,a,DET,O
42,network,NOUN,O
42,of,ADP,O
42,health,NOUN,O
42,centres,NOUN,O
42,and,CCONJ,O
42,veterinary,ADJ,O
42,dispensaries,NOUN,O
42,even,ADV,O
42,at,ADP,O
42,the,DET,O
42,grama,PROPN,O
42,panchayat,PROPN,O
42,level,PROPN,O
42,",",PUNCT,O
42,zoonotic,ADJ,B-DISEASE
42,diseases,NOUN,I-DISEASE
42,are,AUX,O
42,occurring,VERB,O
42,at,ADP,O
42,an,DET,O
42,alarming,ADJ,O
42,rate,NOUN,O
42,.,PUNCT,O
43,The,DET,O
43,blood,NOUN,O
43,is,AUX,O
43,tested,VERB,O
43,for,ADP,O
43,antibodies,NOUN,O
43,to,ADP,O
43,the,DET,O
43,leptospira,PROPN,B-PATHOGEN
43,bacteria,NOUN,I-PATHOGEN
43,.,PUNCT,O
44,Awareness,NOUN,O
44,creation,NOUN,O
44,Control,PROPN,O
44,of,ADP,O
44,zoonotic,ADJ,B-DISEASE
44,diseases,NOUN,I-DISEASE
44,requires,VERB,O
44,a,DET,O
44,strategic,ADJ,O
44,extension,NOUN,O
44,programme,NOUN,O
44,across,ADP,O
44,the,DET,O
44,State,PROPN,O
44,.,PUNCT,O
45,During,ADP,O
45,phases,NOUN,O
45,of,ADP,O
45,the,DET,O
45,illness,NOUN,O
45,",",PUNCT,O
45,the,DET,O
45,leptospira,PROPN,B-PATHOGEN
45,bacteria,NOUN,I-PATHOGEN
45,themselves,PRON,O
45,can,AUX,O
45,be,AUX,O
45,detected,VERB,O
45,using,VERB,O
45,polymerase,NOUN,O
45,chain,NOUN,O
45,reaction,NOUN,O
45,testing,NOUN,O
45,.,PUNCT,O
46,Medicines,NOUN,O
46,to,PART,O
46,treat,VERB,O
46,leptospirosis,NOUN,B-DISEASE
46,include,VERB,O
46,Ampicillin,PROPN,O
46,and,CCONJ,O
46,Doxycycline,PROPN,O
46,.,PUNCT,O
47,Weil,PROPN,B-DISEASE
47,disease,NOUN,I-DISEASE
47,is,AUX,O
47,a,DET,O
47,severe,ADJ,O
47,form,NOUN,O
47,of,ADP,O
47,leptospirosis,NOUN,B-DISEASE
47,.,PUNCT,O
48,Symptoms,NOUN,O
48,of,ADP,O
48,Leptospirosis,PROPN,B-DISEASE
48,can,AUX,O
48,take,VERB,O
48,2,NUM,O
48,to,ADP,O
48,30,NUM,O
48,days,NOUN,O
48,to,PART,O
48,develop,VERB,O
48,",",PUNCT,O
48,and,CCONJ,O
48,may,AUX,O
48,include,VERB,O
48,Dry,PROPN,O
48,cough,NOUN,O
48,",",PUNCT,O
48,Fever,PROPN,B-DISEASE
48,and,CCONJ,O
48,diarrhea,NOUN,B-DISEASE
48,.,PUNCT,O
49,Less,ADV,O
49,common,ADJ,O
49,symptoms,NOUN,O
49,of,ADP,O
49,Leptospirosis,PROPN,B-DISEASE
49,include,VERB,O
49,Abdominal,ADJ,O
49,pain,NOUN,O
49,",",PUNCT,O
49,Abnormal,ADJ,O
49,lung,NOUN,O
49,sounds,VERB,O
49,",",PUNCT,O
49,Bone,NOUN,O
49,pain,NOUN,O
49,",",PUNCT,O
49,Enlarged,ADJ,O
49,lymph,NOUN,O
49,glands,NOUN,O
49,etc,X,O
49,.,PUNCT,O
50,Leptospirosis,PROPN,B-DISEASE
50,is,AUX,O
50,a,DET,O
50,disease,NOUN,O
50,caused,VERB,O
50,by,ADP,O
50,Leptospira,PROPN,B-PATHOGEN
50,bacterial,ADJ,I-PATHOGEN
50,species,NOUN,I-PATHOGEN
50,.,PUNCT,O
51,Weil,PROPN,B-DISEASE
51,disease,NOUN,I-DISEASE
51,",",PUNCT,O
51,Icterohemorrhagic,ADJ,B-DISEASE
51,fever,NOUN,I-DISEASE
51,",",PUNCT,O
51,Swamp,PROPN,B-DISEASE
51,fever,NOUN,I-DISEASE
51,",",PUNCT,O
51,Mud,PROPN,B-DISEASE
51,fever,NOUN,I-DISEASE
51,",",PUNCT,O
51,Hemorrhagic,PROPN,B-DISEASE
51,jaundice,NOUN,I-DISEASE
51,",",PUNCT,O
51,Stuttgart,PROPN,B-DISEASE
51,disease,NOUN,I-DISEASE
51,",",PUNCT,O
51,Canicola,PROPN,B-DISEASE
51,fever,NOUN,I-DISEASE
51,etc,X,O
51,are,AUX,O
51,alternative,ADJ,O
51,names,NOUN,O
51,of,ADP,O
51,Leptospirosis,PROPN,B-DISEASE
51,.,PUNCT,O
52,Leptospirosis,PROPN,B-DISEASE
52,exists,VERB,O
52,worldwide,ADV,O
52,",",PUNCT,O
52,but,CCONJ,O
52,more,ADV,O
52,found,VERB,O
52,in,ADP,O
52,tropical,ADJ,O
52,climates,NOUN,O
52,.,PUNCT,O
53,Leptospira,PROPN,B-PATHOGEN
53,bacteria,NOUN,I-PATHOGEN
53,can,AUX,O
53,survive,VERB,O
53,there,ADV,O
53,for,ADP,O
53,weeks,NOUN,O
53,to,ADP,O
53,months,NOUN,O
53,.,PUNCT,O
54,Leptospira,PROPN,B-PATHOGEN
54,bacteria,NOUN,I-PATHOGEN
54,are,AUX,O
54,carried,VERB,O
54,in,ADP,O
54,the,DET,O
54,urine,NOUN,O
54,of,ADP,O
54,infected,ADJ,O
54,animals,NOUN,O
54,such,ADJ,O
54,as,ADP,O
54,rodents,NOUN,O
54,",",PUNCT,O
54,pigs,NOUN,O
54,",",PUNCT,O
54,cattle,NOUN,O
54,",",PUNCT,O
54,dogs,NOUN,O
54,and,CCONJ,O
54,wildlife,NOUN,O
54,species,NOUN,O
54,.,PUNCT,O
55,People,NOUN,O
55,who,PRON,O
55,enjoy,VERB,O
55,outdoor,ADJ,O
55,activities,NOUN,O
55,where,SCONJ,O
55,freshwater,ADV,O
55,or,CCONJ,O
55,wet,ADJ,O
55,soil,NOUN,O
55,are,AUX,O
55,encountered,VERB,O
55,may,AUX,O
55,be,AUX,O
55,at,ADP,O
55,risk,NOUN,O
55,for,ADP,O
55,leptospirosis,NOUN,B-DISEASE
55,.,PUNCT,O
56,But,CCONJ,O
56,unscientific,ADJ,O
56,practices,NOUN,O
56,make,VERB,O
56,them,PRON,O
